iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.180067205795,0.179968671849,0.179852159466,0.116957511381,0.116691957511,0.116533139111,0.197925640054,0.196771077687,0.197751322751,0.019058211
10,0.181061637384,0.180843048139,0.180891864388,0.116540212443,0.114719271624,0.115440640932,0.191613440711,0.187691450849,0.191501164984,0.205917076
20,0.15939339451,0.159240268476,0.159417491096,0.118816388467,0.117602427921,0.117747025977,0.191732201267,0.189772885607,0.191006233304,0.394553893
30,0.158783598613,0.15863054418,0.158783566472,0.118019726859,0.116995447648,0.11835396941,0.192995244542,0.190794048116,0.193268910363,0.589666336
40,0.1585679685,0.158416782257,0.158569046031,0.117412746586,0.115781487102,0.117140082544,0.189739839097,0.187648124913,0.18999888629,0.782232827
50,0.157551574082,0.157413100017,0.15759364054,0.119537177542,0.118057663126,0.11871813547,0.188638349939,0.186222346682,0.188645507376,0.972227565
60,0.155505573099,0.15535850672,0.155617214838,0.124393019727,0.123672230653,0.124059237679,0.186973827891,0.186046511628,0.187204325298,1.171617153
70,0.155240889186,0.155063323512,0.1553270944,0.128717754173,0.130349013657,0.129278951202,0.187267773099,0.186746133106,0.187747706941,1.366522905
80,0.151983413628,0.151806748433,0.152125347873,0.160508345979,0.160546282246,0.157441126487,0.169612368194,0.16686746988,0.166446499339,1.565054305
90,0.151090747116,0.150961129256,0.151248841136,0.169006069803,0.169347496206,0.165816945861,0.163707860879,0.161715160796,0.161542215715,1.759003249
100,0.15036641479,0.150242811204,0.150526486495,0.17279969651,0.175113808801,0.170065549891,0.159568317595,0.158253329204,0.158108607314,1.954774087
110,0.14848406963,0.148362790822,0.148658162211,0.199658573596,0.195447647951,0.196042728818,0.158912410796,0.15600127348,0.155768005099,2.151226826
120,0.148261669259,0.148163041647,0.148472881065,0.197306525038,0.195447647951,0.192522456907,0.155767465986,0.153846153846,0.151530612245,2.338885885
130,0.144487769523,0.144365220958,0.144734180248,0.225341426404,0.225341426404,0.219956300073,0.155011172722,0.153820653075,0.153805636028,2.531849153
140,0.143559131787,0.143456738645,0.143768872664,0.227427921093,0.225037936267,0.221534352998,0.160932800461,0.15878767913,0.156738987508,2.723806048
150,0.141531818845,0.141473544675,0.141715764596,0.247116843703,0.247040971168,0.24168487497,0.143535301226,0.139736477115,0.141305841924,2.915223605
160,0.140534958224,0.14041825279,0.140686575143,0.254059180577,0.258270106222,0.25054624909,0.139512493983,0.136700812434,0.137709497207,3.107247697
170,0.13859618824,0.138498768158,0.138741386547,0.271661608498,0.270713201821,0.268147608643,0.143704562687,0.136853448276,0.143729583866,3.297720458
180,0.137656514343,0.137508240583,0.137805504128,0.286191198786,0.28406676783,0.281743141539,0.142153733929,0.132720588235,0.1420907641,3.487825569
190,0.138171637661,0.1380286207,0.138349382155,0.286115326252,0.285887708649,0.282957028405,0.141827800073,0.133333333333,0.142794949935,3.693133304
200,0.137310729434,0.137209791683,0.137510049325,0.292905918058,0.293930197269,0.287933964555,0.135522471128,0.128161888702,0.135827931644,3.884786935
210,0.136335471402,0.136205062612,0.136506301974,0.299924127466,0.301820940819,0.296916727361,0.136129575882,0.131067044381,0.137838642453,4.085948849
220,0.135333675952,0.135223159348,0.135508610771,0.308042488619,0.314264036419,0.307356154406,0.137180700095,0.131796349664,0.139106819553,4.280501769
230,0.13464657194,0.134478119611,0.134861073985,0.321016691958,0.325189681335,0.317795581452,0.136113524471,0.132292682927,0.139883685338,4.480306525
240,0.133236668023,0.133063461155,0.13341932355,0.338543247344,0.342792109256,0.331026948288,0.134432088959,0.130495884361,0.134443222868,4.678795255
250,0.132576425184,0.132523037501,0.132758231336,0.351365705615,0.351896813354,0.342073318767,0.136464646465,0.131734092295,0.1328,4.898259897
260,0.131770690471,0.131813731794,0.131972151005,0.364871016692,0.363429438543,0.356154406409,0.126838427037,0.125859554074,0.124174372523,5.1028796
270,0.12706705395,0.127116626541,0.12735552711,0.435735963581,0.429590288316,0.425831512503,0.122374321454,0.116568742656,0.118524040253,5.325385839
280,0.125484412628,0.125564447575,0.125798017788,0.457473444613,0.452352048558,0.446103423161,0.119775958639,0.113049889408,0.114496409858,5.536065743
290,0.124120182158,0.124261614227,0.124431972861,0.473103186646,0.468740515933,0.46103423161,0.113939393939,0.108025477707,0.113418530351,5.729778104
300,0.122380591943,0.122551469985,0.122720696173,0.495561456753,0.490136570561,0.47766448167,0.113710591215,0.107332624867,0.109294142,5.917126232
310,0.12169123164,0.121817968787,0.122007341694,0.508535660091,0.50440060698,0.493809176985,0.113460617259,0.108137629711,0.107066381156,6.143193227
320,0.122214130853,0.122319245058,0.122524732997,0.496927162367,0.491198786039,0.481063364894,0.10910312395,0.105150787297,0.103961433662,6.338207306
330,0.115724871573,0.115774830947,0.116036015757,0.591881638847,0.588770864947,0.578417091527,0.109289617486,0.108552631579,0.108344030809,6.532853221
340,0.113670955453,0.113671673678,0.113955557954,0.616540212443,0.618057663126,0.603665938335,0.112710674157,0.115289982425,0.1096263976,6.738279249
350,0.108442571125,0.108499435218,0.108877578277,0.683345978756,0.681790591806,0.671279436756,0.114940091189,0.111817026684,0.103904698875,6.966855146
360,0.107652829918,0.107712540248,0.10815957338,0.683383915023,0.68315629742,0.673585821801,0.105849582173,0.106164383562,0.0967416862613,7.176798476
370,0.105727985341,0.105842208145,0.106231036843,0.706525037936,0.705918057663,0.695193008012,0.105871474804,0.10773480663,0.0990312163617,7.382639926
380,0.104772943783,0.104899744443,0.105250990273,0.711001517451,0.710015174507,0.699927166788,0.100377893245,0.101551480959,0.0958302852963,7.571565701
390,0.10388240043,0.104095190059,0.104323059953,0.7187784522,0.717298937785,0.706117989803,0.0982848801849,0.0986937590711,0.0929186961409,7.80891995
400,0.102856203076,0.103044729563,0.103270277593,0.735280728376,0.733839150228,0.725904345715,0.101930501931,0.100512820513,0.103968253968,8.031090222
410,0.102686107554,0.102894572757,0.103079946812,0.735925644917,0.734294385432,0.7278465647,0.101690540715,0.101590559261,0.104632587859,8.227887868
420,0.0894004239044,0.0889961651209,0.0893310237501,0.800493171472,0.800758725341,0.795824229182,0.103630475541,0.109830508475,0.101495726496,8.425854635
