iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0521373510373,0.0515821841138,0.0525148438147,0.88717754173,0.887405159332,0.887351298859,0,0,0,0.071340227
10,0.0417129171832,0.0423350419882,0.0418105792765,0.887329286798,0.887405159332,0.887351298859,0,0,0,0.622045748
20,0.040817936633,0.0416547048343,0.0410127270672,0.887329286798,0.887405159332,0.887351298859,0,0,0,1.160263474
30,0.0402898107557,0.0413540770121,0.0405352514318,0.887329286798,0.887405159332,0.887351298859,0,0,0,1.74460056
40,0.040003973756,0.0412815265625,0.0404248133766,0.892905918058,0.891047040971,0.89475600874,0.399489470325,0.378892733564,0.392431674842,2.266758492
50,0.0396790998145,0.0410933527017,0.0401759764666,0.895561456753,0.893019726859,0.896334061665,0.384254081861,0.366576819407,0.373900293255,2.761907135
60,0.0394967180106,0.0409685115797,0.0400337030864,0.897192716237,0.89468892261,0.897183782471,0.387708992318,0.369090909091,0.370260223048,3.264985143
70,0.039296115828,0.0407958081864,0.0399105422993,0.898558421851,0.895295902883,0.896941005098,0.386978450252,0.368131868132,0.363090772693,3.749559348
80,0.0391733850965,0.0406709124357,0.0398085082121,0.898861911988,0.896054628225,0.897305171158,0.384011090573,0.369825206992,0.363909774436,4.247354093
90,0.0391060474294,0.0405973546235,0.0397505041431,0.898975720789,0.896206373293,0.896576839039,0.383422088446,0.370165745856,0.35843373494,4.737693408
100,0.0390671878633,0.0405617128959,0.0397157886672,0.898786039454,0.895902883156,0.897547948531,0.38553661907,0.370642201835,0.370149253731,5.249271789
110,0.0390239032193,0.0405192945928,0.0396833367756,0.898823975721,0.896358118361,0.897669337218,0.387600459242,0.375114364135,0.375092661231,5.741706116
120,0.0390024966007,0.0405066928555,0.0396823353673,0.899013657056,0.896054628225,0.897669337218,0.389449541284,0.374429223744,0.376940133038,6.2460212
130,0.0389681804955,0.0404798794461,0.0396705668362,0.899165402124,0.896965098634,0.897912114591,0.390366972477,0.381039197812,0.379335793358,6.733165883
140,0.0389369846389,0.0404531337349,0.0396629622578,0.898975720789,0.896813353566,0.898397669337,0.388237996784,0.378427787934,0.382287822878,7.233972335
150,0.0389151231597,0.0404629136011,0.0396414578346,0.898899848255,0.896661608498,0.898276280651,0.388340601331,0.379216043756,0.381093057607,7.753682171
160,0.0388899657759,0.0404918375313,0.0396321487696,0.898975720789,0.895902883156,0.897912114591,0.390199221433,0.378623188406,0.378418329638,8.250663695
170,0.0388622213436,0.0405005652862,0.0396299221623,0.899051593323,0.895751138088,0.897790725904,0.390936140993,0.378280542986,0.378138847858,8.750516151
180,0.0388426545938,0.0404815971069,0.0396407064382,0.899317147193,0.896054628225,0.898276280651,0.39072543618,0.378966455122,0.379259259259,9.248897246
190,0.0388318336073,0.0404558903779,0.0396303428005,0.899165402124,0.895902883156,0.898276280651,0.390646492435,0.378623188406,0.378338278932,9.727696632
200,0.0388159717053,0.0404478735784,0.0396372787865,0.899241274659,0.896054628225,0.898033503277,0.39166284929,0.377838328792,0.379615952733,10.224376167
210,0.0387989689132,0.040449899761,0.039644737616,0.899241274659,0.896358118361,0.897790725904,0.389705882353,0.379654859219,0.375370919881,10.694762296
220,0.0387773397148,0.0404484843173,0.0396595818142,0.899582701062,0.895902883156,0.898033503277,0.392192881745,0.377495462795,0.375928677563,11.171802128
230,0.0387656157644,0.0404400459858,0.039644372149,0.899734446131,0.896206373293,0.898154891964,0.393389947211,0.378181818182,0.376208178439,11.652157441
240,0.038752592076,0.0404369819328,0.0396574715904,0.899582701062,0.896661608498,0.898154891964,0.391913622789,0.379216043756,0.374347501864,12.128871781
