iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.137346700462,0.137542393977,0.137664436519,0.272989377845,0.260546282246,0.268026219956,0.214139260231,0.207513416816,0.215456674473,0.028453057
10,0.13688779064,0.136926968248,0.137124070758,0.283687405159,0.27435508346,0.28101480942,0.215081476555,0.208802117803,0.218292200079,0.345516077
20,0.133116657943,0.133099966089,0.133312759436,0.340477996965,0.33095599393,0.336246661811,0.225853854032,0.220060145056,0.228337567034,0.581233148
30,0.131101809713,0.13108788489,0.131296147405,0.362860394537,0.359939301973,0.362588006798,0.229622494381,0.227755400952,0.233094786038,0.872207916
40,0.130075560002,0.13008785822,0.130261135177,0.374962063733,0.368740515933,0.371570769604,0.235523385301,0.231337767923,0.234737620103,1.155007545
50,0.124312008243,0.124498139434,0.124456510464,0.436418816388,0.433839150228,0.440033988832,0.242272773641,0.238416003266,0.243894443534,1.399307008
60,0.120392039913,0.120523435118,0.120417805859,0.489871016692,0.486494688923,0.496843894149,0.244593000393,0.237494366832,0.245403240488,1.639396776
70,0.119894134221,0.120046565547,0.119909676638,0.495523520486,0.492261001517,0.501942218985,0.246230586101,0.238160291439,0.246464646465,1.881321721
80,0.119959722379,0.120150718071,0.119997272646,0.500265553869,0.494233687405,0.503156105851,0.241230343874,0.230786983614,0.239360713622,2.110652077
90,0.119432572529,0.119675955053,0.119449543665,0.501138088012,0.496965098634,0.507404709881,0.24538046597,0.238805970149,0.246285289747,2.365888007
100,0.118059835763,0.118270564655,0.118004330456,0.523482549317,0.526403641882,0.530954115076,0.25174241973,0.249218186192,0.252032520325,2.639001787
110,0.116934016188,0.117183056894,0.116871651339,0.537405159332,0.535963581184,0.546977421704,0.255373717636,0.246055226824,0.256277401355,2.879610455
120,0.10895926825,0.109345171962,0.108834724372,0.613353566009,0.614415781487,0.621995630007,0.255406195207,0.246217739543,0.261385199241,3.133837458
130,0.108248519489,0.108656633018,0.108088643895,0.618095599393,0.618057663126,0.624787569798,0.256114682628,0.246632744687,0.262467191601,3.416694829
140,0.10682462476,0.107300455433,0.106672563422,0.620789074355,0.621699544765,0.626487011411,0.255141579732,0.247055270311,0.257659831122,3.679148583
150,0.103493437495,0.103930076461,0.103218221442,0.651972685888,0.65660091047,0.659019179412,0.259325044405,0.259731763167,0.264467137994,3.932340347
160,0.097741154276,0.0982565181607,0.097380876634,0.685887708649,0.686646433991,0.69276523428,0.239669421488,0.237726098191,0.243800418285,4.212100423
170,0.0965000732021,0.0969334659924,0.0961117492191,0.693361153263,0.694233687405,0.696528283564,0.234056666351,0.232380952381,0.235941320293,4.462205365
180,0.0953928877883,0.0958975514445,0.0949961207492,0.69935508346,0.699848254932,0.703690216072,0.23170140572,0.225528582616,0.236949046577,4.728284764
190,0.0871330525986,0.087617463661,0.0866650469281,0.777883156297,0.775569044006,0.779193979121,0.175700408278,0.176044568245,0.175804259175,4.9876867
200,0.0861957476874,0.0865378345503,0.0855902869831,0.780235204856,0.780728376328,0.781743141539,0.157626872183,0.158415841584,0.149479659413,5.241733074
210,0.0843488569834,0.0847142982759,0.0838654604735,0.797344461305,0.798027314112,0.79764505948,0.157678965626,0.162366268093,0.150789607743,5.558917963
220,0.087714438685,0.0880137623291,0.0873202538283,0.793968133536,0.795144157815,0.795338674436,0.15259790919,0.154135338346,0.148484848485,5.87042154
230,0.084225433591,0.084570367108,0.0837305158792,0.799203338392,0.799544764795,0.799708667152,0.152984477516,0.155910543131,0.146845915202,6.250535442
240,0.0842423667971,0.0845854379864,0.0837528440357,0.800151745068,0.800303490137,0.800558387958,0.16380952381,0.170239596469,0.159590792839,6.540685493
250,0.0803533826628,0.0807103848335,0.0797901718655,0.832701062215,0.83004552352,0.831755280408,0.171986481412,0.17282127031,0.168067226891,6.843009601
260,0.0795125862757,0.0797170677319,0.0789566082353,0.841654021244,0.842336874052,0.839159990289,0.17215390718,0.174741858618,0.162981680354,7.137773784
270,0.0776158755754,0.0777724937644,0.0769667219064,0.846585735964,0.845675265554,0.843529983006,0.230593607306,0.221882172915,0.21641337386,7.417513931
280,0.076763965243,0.0769637167493,0.0761368891811,0.855424886191,0.853414264036,0.851905802379,0.191728525981,0.192307692308,0.180107526882,7.697988354
290,0.0756102872922,0.0757746132604,0.0749773084454,0.857018209408,0.855083459788,0.853605243991,0.167439805611,0.165938864629,0.15308988764,8.00425236
300,0.0741095084022,0.074269719106,0.0734722797659,0.858839150228,0.857966616085,0.857368293275,0.16400808807,0.162790697674,0.161313347609,8.335033868
310,0.0729854893161,0.0731311880973,0.0723425795277,0.859142640364,0.858877086495,0.857732459335,0.171390314662,0.181338028169,0.162857142857,8.626546444
