iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.095650831774,0.0959288121091,0.0955456576806,0.839491654021,0.836874051593,0.838310269483,0.0275798666973,0.0289069557362,0.0248901903367,0.643124622
10,0.0758700710043,0.0759016008973,0.0756609414519,0.887329286798,0.887405159332,0.887351298859,0,0,0,5.749932359
20,0.0551216299155,0.0552153621548,0.0548048173666,0.887329286798,0.887405159332,0.887351298859,0,0,0,10.50144594
30,0.0526141602977,0.0524548054688,0.0524965705172,0.887329286798,0.887405159332,0.887351298859,0,0,0,15.427312706
40,0.0526934765252,0.0528248854384,0.052796523846,0.887329286798,0.887405159332,0.887351298859,0,0,0,20.189707568
50,0.0481391536631,0.0480914851484,0.0478504544772,0.887329286798,0.887405159332,0.887351298859,0,0,0,24.956023934
60,0.0493887365637,0.0490613343137,0.0490892385521,0.887329286798,0.887405159332,0.887351298859,0,0,0,29.607792006
70,0.0456192683174,0.0456022963155,0.0456132548621,0.887329286798,0.887405159332,0.887351298859,0,0,0,34.3277187
80,0.0486030479839,0.0485755508545,0.0485692640533,0.887329286798,0.887405159332,0.887351298859,0,0,0,38.993708832
90,0.0483526116498,0.0483380314985,0.048139675351,0.887329286798,0.887405159332,0.887351298859,0,0,0,43.529321588
100,0.0482694941546,0.0481623783803,0.048080769109,0.887329286798,0.887405159332,0.887351298859,0,0,0,48.202755652
110,0.0482769405669,0.0480323009668,0.0481833651448,0.887329286798,0.887405159332,0.887351298859,0,0,0,52.892841476
120,0.0490048195427,0.0488880890334,0.0488937022221,0.887329286798,0.887405159332,0.887351298859,0,0,0,57.338914238
130,0.0474923947991,0.0473532352388,0.0473833852858,0.887329286798,0.887405159332,0.887351298859,0,0,0,61.908179765
140,0.049467521775,0.049383584189,0.0494041166123,0.887329286798,0.887405159332,0.887351298859,0,0,0,66.54294657
150,0.0471146695024,0.0469285181629,0.0469438890981,0.887329286798,0.887405159332,0.887351298859,0,0,0,71.189165933
160,0.049995745662,0.0499110381307,0.0498834291209,0.887329286798,0.887405159332,0.887351298859,0,0,0,75.833972439
