iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.13376980248,0.134121980033,0.133838631826,0.379097116844,0.37253414264,0.377640203933,0.234936661525,0.226958309964,0.235574772626,0.023287834
10,0.132656064526,0.133019185543,0.132755410329,0.397003034901,0.38937784522,0.394149065307,0.238927459899,0.231474407945,0.239292790733,0.2749717
20,0.131975361284,0.132397319802,0.132103249088,0.411949924127,0.403641881639,0.404709881039,0.242264261622,0.233320327741,0.239218119764,0.61947374
30,0.12795422767,0.128480798846,0.128062528518,0.454590288316,0.445675265554,0.448652585579,0.24223897117,0.230785428511,0.242494996664,0.925027742
40,0.123414775365,0.124093010763,0.123514375876,0.502314112291,0.495902883156,0.500606943433,0.241544776551,0.229949003245,0.24569123579,1.258434147
50,0.122451852929,0.12327609251,0.122524846894,0.492412746586,0.483763277693,0.486283078417,0.225873640361,0.2125,0.228581844696,1.522960684
60,0.12214772971,0.122969232136,0.122210676045,0.496054628225,0.487405159332,0.491866958,0.225151656556,0.211484593838,0.228244837758,1.778294209
70,0.117224897764,0.117979348853,0.117451325925,0.560963581184,0.547344461305,0.554260742899,0.212667528403,0.196606517641,0.207937877481,2.052117739
80,0.116568075857,0.117380114802,0.116810238002,0.553300455235,0.536722306525,0.547341587764,0.209890626048,0.195520421607,0.204734484965,2.353978391
90,0.114542837035,0.115313090239,0.114617455015,0.573975720789,0.562367223065,0.571862102452,0.219379952732,0.205071664829,0.219517592388,2.611859911
100,0.114048712898,0.114879833445,0.114197312184,0.591957511381,0.574810318665,0.587764020393,0.222832369942,0.202618099032,0.222171323866,2.829960497
110,0.111739313572,0.112630613061,0.111892539687,0.611305007587,0.592716236722,0.6048798252,0.227766053663,0.205917159763,0.224815432246,3.053155539
120,0.111194864328,0.112065145919,0.111267366841,0.615440060698,0.601213960546,0.613498421947,0.23430772717,0.218787158145,0.234615384615,3.281096546
130,0.108742820533,0.109592212328,0.108836005687,0.653603945372,0.642640364188,0.647972808934,0.247300305004,0.229132569558,0.24360980699,3.539165083
