iterations,fitness,time,fevals
0,17.0,0.000481732,11
10,17.0,0.000808843,21
20,17.0,0.001118085,31
30,17.0,0.00135804,41
40,17.0,0.001592159,51
50,17.0,0.001902495,61
60,17.0,0.002297071,71
70,18.0,0.002639133,81
80,29.0,0.002951293,91
90,29.0,0.00356686,101
100,29.0,0.003990609,111
110,29.0,0.004162735,121
120,29.0,0.004572992,131
130,29.0,0.004728708,141
140,29.0,0.00534464,151
150,29.0,0.006144731,161
160,29.0,0.00636791,171
170,29.0,0.006525813,181
180,29.0,0.006712161,191
190,29.0,0.00683542,201
200,29.0,0.006974725,211
210,29.0,0.007107102,221
220,29.0,0.007260264,231
230,29.0,0.007434578,241
240,29.0,0.007608891,251
250,29.0,0.007866349,261
260,29.0,0.008066554,271
270,29.0,0.008219716,281
280,29.0,0.00839877,291
290,29.0,0.008604446,301
300,29.0,0.008727341,311
310,29.0,0.008999751,321
320,29.0,0.010694018,331
330,29.0,0.011238109,341
340,29.0,0.011324171,351
350,29.0,0.011411327,361
360,29.0,0.011524011,371
370,29.0,0.011600957,381
380,29.0,0.011712182,391
390,29.0,0.011820854,401
400,30.0,0.012169116,411
410,30.0,0.012343795,421
420,30.0,0.012467054,431
430,31.0,0.012597607,441
440,31.0,0.012712114,451
450,31.0,0.012836467,461
460,32.0,0.012964831,471
470,32.0,0.013214267,481
480,32.0,0.013319292,491
490,32.0,0.013434528,501
500,32.0,0.013547212,511
510,32.0,0.013718608,521
520,32.0,0.013834574,531
530,32.0,0.013951634,541
540,32.0,0.014071247,551
550,32.0,0.014181378,561
560,32.0,0.014338552,571
570,32.0,0.014477493,581
580,32.0,0.014632114,591
590,32.0,0.01483159,601
600,32.0,0.01498147,611
610,32.0,0.01508212,621
620,32.0,0.015220695,631
630,33.0,0.01532645,641
640,33.0,0.015434393,651
650,34.0,0.015573698,661
660,34.0,0.015797972,671
670,34.0,0.015880388,681
680,34.0,0.01593983,691
690,35.0,0.016024069,701
700,35.0,0.016089346,711
710,35.0,0.016137483,721
720,35.0,0.016199112,731
730,36.0,0.016253083,741
740,37.0,0.016307055,751
750,38.0,0.016366497,761
760,38.0,0.016417186,771
770,38.0,0.016506531,781
780,38.0,0.016564149,791
790,39.0,0.016614839,801
800,39.0,0.016670634,811
810,39.0,0.016815773,821
820,39.0,0.016883967,831
830,40.0,0.016941585,841
840,40.0,0.017009778,851
850,41.0,0.017084171,861
860,41.0,0.017142154,871
870,43.0,0.01721363,881
880,43.0,0.017269425,891
890,43.0,0.017322667,901
900,43.0,0.017376638,911
910,43.0,0.017433527,921
920,43.0,0.017490051,931
930,43.0,0.017542928,941
940,43.0,0.017609299,951
950,43.0,0.017662906,961
960,43.0,0.017716877,971
970,43.0,0.017766108,981
980,43.0,0.017820079,991
990,43.0,0.017879521,1001
1000,43.0,0.017933857,1011
1010,43.0,0.017984547,1021
1020,43.0,0.018060399,1031
1030,43.0,0.018118382,1041
1040,43.0,0.018178553,1051
1050,43.0,0.018233253,1061
1060,43.0,0.018305822,1071
1070,43.0,0.018364899,1081
1080,43.0,0.018440387,1091
1090,43.0,0.018500923,1101
1100,43.0,0.018613607,1111
1110,43.0,0.01867086,1121
1120,43.0,0.018735407,1131
1130,43.0,0.018784273,1141
1140,43.0,0.018836786,1151
1150,43.0,0.01892212,1161
1160,43.0,0.018977551,1171
1170,43.0,0.019068719,1181
1180,43.0,0.01914056,1191
1190,43.0,0.019263455,1201
1200,43.0,0.019309768,1211
1210,43.0,0.019371398,1221
1220,43.0,0.019437039,1231
1230,44.0,0.019489552,1241
1240,44.0,0.019584367,1251
1250,44.0,0.019674806,1261
1260,44.0,0.01978129,1271
1270,44.0,0.019848025,1281
1280,44.0,0.019907102,1291
1290,44.0,0.01999827,1301
1300,48.0,0.020071204,1311
1310,48.0,0.020150338,1321
1320,49.0,0.020196286,1331
1330,49.0,0.020242235,1341
1340,49.0,0.020289278,1351
1350,49.0,0.020343249,1361
1360,50.0,0.020388468,1371
1370,50.0,0.020438063,1381
1380,51.0,0.020505892,1391
1390,51.0,0.020558769,1401
1400,57.0,0.020604718,1411
1410,57.0,0.020688593,1421
1420,57.0,0.020745117,1431
1430,57.0,0.020870199,1441
1440,57.0,0.020928182,1451
1450,57.0,0.020987259,1461
1460,57.0,0.021055452,1471
1470,57.0,0.021203144,1481
1480,57.0,0.021253834,1491
1490,57.0,0.021361048,1501
1500,57.0,0.021416843,1511
1510,57.0,0.021504,1521
1520,57.0,0.021558701,1531
1530,57.0,0.021616319,1541
1540,57.0,0.021661903,1551
1550,57.0,0.021714052,1561
1560,57.0,0.021773493,1571
1570,57.0,0.021820171,1581
1580,57.0,0.021871954,1591
1590,57.0,0.021934678,1601
1600,57.0,0.021984274,1611
1610,57.0,0.02213853,1621
1620,57.0,0.022220581,1631
1630,57.0,0.022368638,1641
1640,57.0,0.022419328,1651
1650,57.0,0.022482416,1661
1660,57.0,0.022537117,1671
1670,57.0,0.022596559,1681
1680,57.0,0.022691373,1691
1690,57.0,0.022741698,1701
1700,58.0,0.022803692,1711
1710,58.0,0.022859487,1721
1720,60.0,0.022925493,1731
1730,60.0,0.022968889,1741
1740,60.0,0.023068444,1751
1750,60.0,0.023114028,1761
1760,60.0,0.023174199,1771
1770,60.0,0.023221971,1781
1780,60.0,0.023280683,1791
1790,60.0,0.02333356,1801
1800,60.0,0.023389355,1811
1810,60.0,0.023422176,1821
1820,61.0,0.023469948,1831
1830,62.0,0.023534131,1841
1840,63.0,0.023649003,1851
1850,64.0,0.023863066,1861
1860,64.0,0.023913391,1871
1870,64.0,0.023955328,1881
1880,64.0,0.024017323,1891
1890,64.0,0.024057802,1901
1900,64.0,0.024114326,1911
1910,64.0,0.024186531,1921
1920,64.0,0.024226645,1931
1930,64.0,0.024274053,1941
1940,64.0,0.024317084,1951
1950,64.0,0.02444399,1961
1960,64.0,0.024501608,1971
1970,64.0,0.024545733,1981
1980,64.0,0.024591317,1991
1990,64.0,0.024660969,2001
2000,64.0,0.024704365,2011
2010,64.0,0.024748855,2021
2020,64.0,0.024802827,2031
2030,64.0,0.02484987,2041
2040,64.0,0.024930827,2051
2050,64.0,0.025023819,2061
2060,64.0,0.025070133,2071
2070,64.0,0.025114258,2081
2080,64.0,0.025160571,2091
2090,64.0,0.025208343,2101
2100,64.0,0.025252469,2111
2110,64.0,0.025292583,2121
2120,64.0,0.025341084,2131
2130,64.0,0.025391044,2141
2140,64.0,0.025449391,2151
2150,64.0,0.025494611,2161
2160,64.0,0.025534725,2171
2170,64.0,0.025575933,2181
2180,64.0,0.025637927,2191
2190,64.0,0.025680593,2201
2200,64.0,0.025730918,2211
2210,64.0,0.02578416,2221
2220,64.0,0.025835214,2231
2230,64.0,0.025883351,2241
2240,64.0,0.025939146,2251
2250,64.0,0.025984001,2261
2260,64.0,0.026033232,2271
2270,64.0,0.026074076,2281
2280,64.0,0.026124036,2291
2290,65.0,0.026167432,2301
2300,65.0,0.026222133,2311
2310,65.0,0.026269905,2321
2320,65.0,0.026314395,2331
2330,65.0,0.026357426,2341
2340,65.0,0.026400822,2351
2350,65.0,0.026438383,2361
2360,65.0,0.026485061,2371
2370,66.0,0.026529187,2381
2380,66.0,0.026597016,2391
2390,66.0,0.026632754,2401
2400,66.0,0.026683079,2411
2410,66.0,0.02673231,2421
2420,66.0,0.026782271,2431
2430,66.0,0.026823114,2441
2440,67.0,0.026881462,2451
2450,67.0,0.02692814,2461
2460,67.0,0.026972266,2471
2470,67.0,0.027014568,2481
2480,67.0,0.027064528,2491
2490,67.0,0.027160437,2501
2500,69.0,0.027199092,2511
2510,69.0,0.027245406,2521
2520,69.0,0.027287708,2531
2530,69.0,0.02734095,2541
2540,69.0,0.027398568,2551
2550,70.0,0.027550272,2561
2560,70.0,0.02759075,2571
2570,70.0,0.027634875,2581
2580,71.0,0.027676812,2591
2590,71.0,0.027730419,2601
2600,71.0,0.027776732,2611
2610,71.0,0.027832527,2621
2620,71.0,0.027891604,2631
2630,71.0,0.027997723,2641
2640,71.0,0.028105666,2651
