iterations,fitness,time,fevals
0,24.0,0.116528845,1000
10,34.0,0.245970736,2100
20,39.0,0.37691143,3200
30,37.0,0.46990396,4300
40,39.0,0.552952241,5400
50,39.0,0.639673136,6500
60,39.0,0.722681303,7600
70,40.0,0.812139794,8700
80,42.0,0.883644738,9800
90,44.0,0.977229131,10900
100,43.0,1.070234424,12000
110,45.0,1.154037942,13100
120,43.0,1.218000733,14200
130,43.0,1.282483183,15300
140,45.0,1.368186643,16400
150,43.0,1.446890583,17500
160,44.0,1.532032448,18600
170,44.0,1.624150494,19700
180,43.0,1.703698285,20800
190,44.0,1.781513154,21900
200,45.0,1.852735112,23000
210,44.0,1.926376671,24100
220,44.0,2.000709284,25200
230,43.0,2.065076132,26300
240,44.0,2.141097542,27400
250,43.0,2.209244948,28500
260,43.0,2.290711646,29600
270,46.0,2.38268747,30700
280,44.0,2.448876951,31800
290,43.0,2.510861761,32900
300,43.0,2.571529009,34000
310,43.0,2.638828552,35100
320,46.0,2.703474011,36200
330,50.0,2.766517464,37300
340,53.0,2.846091877,38400
350,53.0,2.918602223,39500
360,52.0,3.003610618,40600
370,54.0,3.087718273,41700
380,54.0,3.161084869,42800
390,55.0,3.239734838,43900
400,53.0,3.312894665,45000
410,53.0,3.390717557,46100
420,54.0,3.464094,47200
430,55.0,3.530475298,48300
440,55.0,3.608405039,49400
450,55.0,3.690477457,50500
460,55.0,3.763058549,51600
470,55.0,3.835487208,52700
480,55.0,3.910096972,53800
490,61.0,3.979319797,54900
500,62.0,4.054078712,56000
510,57.0,4.12685308,57100
520,63.0,4.19137382,58200
530,56.0,4.267188461,59300
540,62.0,4.338934089,60400
550,56.0,4.407614282,61500
560,58.0,4.471581086,62600
570,61.0,4.564880305,63700
580,55.0,4.634660349,64800
590,62.0,4.706710114,65900
600,67.0,4.781284505,67000
610,55.0,4.853958224,68100
620,55.0,4.933712785,69200
630,54.0,5.002771507,70300
640,62.0,5.083461453,71400
650,61.0,5.156051297,72500
660,64.0,5.234901471,73600
670,64.0,5.319021888,74700
680,56.0,5.381158037,75800
690,62.0,5.450358253,76900
700,62.0,5.517314639,78000
710,62.0,5.581499516,79100
720,56.0,5.653820962,80200
730,63.0,5.730998019,81300
740,63.0,5.803154998,82400
750,63.0,5.878938643,83500
760,64.0,5.950814095,84600
770,64.0,6.03077579,85700
780,64.0,6.099202535,86800
790,64.0,6.16700642,87900
800,64.0,6.254988353,89000
810,64.0,6.338276588,90100
820,65.0,6.398388076,91200
830,64.0,6.469758091,92300
840,64.0,6.548782214,93400
850,63.0,6.620847295,94500
860,65.0,6.682411272,95600
870,64.0,6.751070678,96700
880,64.0,6.81546743,97800
890,64.0,6.88504654,98900
900,65.0,6.952339154,100000
910,68.0,7.026609044,101100
920,67.0,7.092721579,102200
930,68.0,7.16326233,103300
940,69.0,7.243257575,104400
950,67.0,7.311634725,105500
960,70.0,7.373016366,106600
970,70.0,7.448676387,107700
980,67.0,7.509221835,108800
990,68.0,7.574795384,109900
1000,72.0,7.65247423,111000
1010,75.0,7.723834399,112100
1020,75.0,7.801590921,113200
1030,74.0,7.875691603,114300
1040,75.0,7.974251585,115400
1050,75.0,8.062286395,116500
1060,80.0,8.132189334,117600
1070,76.0,8.196617812,118700
1080,74.0,8.278082686,119800
1090,75.0,8.363420015,120900
1100,76.0,8.446991601,122000
1110,74.0,8.520289274,123100
1120,75.0,8.597905032,124200
1130,77.0,8.670754159,125300
1140,73.0,8.766828899,126400
1150,74.0,8.837997251,127500
1160,74.0,8.91778682,128600
1170,74.0,8.990031684,129700
1180,73.0,9.052397211,130800
1190,73.0,9.109037383,131900
1200,73.0,9.166899572,133000
1210,73.0,9.224034605,134100
1220,73.0,9.282420828,135200
1230,73.0,9.369284675,136300
1240,74.0,9.443368946,137400
1250,74.0,9.50915437,138500
1260,73.0,9.575920398,139600
1270,73.0,9.64136777,140700
1280,73.0,9.705408601,141800
1290,73.0,9.784596826,142900
1300,73.0,9.849202535,144000
1310,73.0,9.920350465,145100
1320,74.0,9.995583818,146200
1330,74.0,10.064621025,147300
1340,74.0,10.133874482,148400
1350,74.0,10.2257905,149500
1360,74.0,10.283655242,150600
1370,73.0,10.339521215,151700
1380,73.0,10.396954914,152800
1390,73.0,10.453242813,153900
1400,73.0,10.517185912,155000
1410,73.0,10.573740751,156100
1420,73.0,10.632633504,157200
1430,73.0,10.710154082,158300
1440,74.0,10.783215083,159400
1450,74.0,10.841216577,160500
1460,73.0,10.906782833,161600
1470,73.0,11.007069539,162700
1480,73.0,11.084553285,163800
1490,73.0,11.147790014,164900
1500,74.0,11.222341795,166000
1510,73.0,11.29697271,167100
1520,74.0,11.362832162,168200
1530,73.0,11.426041541,169300
1540,73.0,11.495797881,170400
1550,73.0,11.562893572,171500
1560,73.0,11.632388442,172600
1570,73.0,11.699962948,173700
1580,73.0,11.766306685,174800
1590,74.0,11.829783369,175900
1600,73.0,11.900877328,177000
1610,74.0,11.968703822,178100
1620,73.0,12.041180982,179200
1630,74.0,12.109195648,180300
1640,74.0,12.180082108,181400
1650,73.0,12.261618458,182500
1660,73.0,12.329915745,183600
1670,74.0,12.404918626,184700
1680,73.0,12.476299946,185800
1690,73.0,12.542392424,186900
1700,73.0,12.61891453,188000
1710,74.0,12.688951304,189100
1720,74.0,12.74655421,190200
1730,74.0,12.818172567,191300
1740,74.0,12.887359289,192400
1750,73.0,12.955562855,193500
1760,74.0,13.0204118,194600
1770,74.0,13.08343629,195700
1780,73.0,13.155853644,196800
1790,73.0,13.217046749,197900
1800,74.0,13.281725393,199000
1810,73.0,13.352130851,200100
1820,73.0,13.421570656,201200
1830,73.0,13.4882849,202300
1840,73.0,13.55211641,203400
1850,73.0,13.615327247,204500
1860,74.0,13.67483666,205600
1870,74.0,13.733530667,206700
1880,74.0,13.790186155,207800
1890,73.0,13.852624251,208900
1900,73.0,13.913244821,210000
1910,74.0,13.980745663,211100
1920,74.0,14.044097264,212200
1930,73.0,14.127582058,213300
1940,73.0,14.208453246,214400
1950,74.0,14.28210538,215500
1960,74.0,14.353914826,216600
1970,74.0,14.42388997,217700
1980,73.0,14.486422882,218800
1990,73.0,14.557718504,219900
2000,73.0,14.638936495,221000
2010,75.0,14.729742814,222100
2020,75.0,14.809969261,223200
2030,75.0,14.877124029,224300
2040,75.0,14.945312643,225400
2050,74.0,15.02226652,226500
2060,76.0,15.100985776,227600
2070,75.0,15.165232282,228700
2080,74.0,15.23773424,229800
2090,75.0,15.311641646,230900
2100,75.0,15.382482157,232000
2110,75.0,15.475902083,233100
2120,74.0,15.54043194,234200
2130,75.0,15.610444645,235300
2140,75.0,15.670769102,236400
2150,75.0,15.727193023,237500
2160,75.0,15.784069502,238600
2170,74.0,15.844073776,239700
2180,75.0,15.907336032,240800
2190,75.0,15.9739241,241900
2200,76.0,16.052058422,243000
2210,74.0,16.117378889,244100
2220,75.0,16.188376939,245200
2230,79.0,16.259931478,246300
2240,75.0,16.34177707,247400
2250,75.0,16.424671095,248500
2260,74.0,16.504113496,249600
2270,75.0,16.567442487,250700
2280,74.0,16.626887718,251800
2290,75.0,16.701909198,252900
2300,74.0,16.770090884,254000
2310,75.0,16.845006244,255100
2320,75.0,16.934421339,256200
2330,75.0,17.003848016,257300
2340,75.0,17.072480437,258400
2350,75.0,17.145041107,259500
2360,75.0,17.219700467,260600
2370,75.0,17.276228684,261700
2380,75.0,17.345487247,262800
2390,75.0,17.409144808,263900
2400,75.0,17.468530963,265000
2410,75.0,17.539667224,266100
2420,76.0,17.627426342,267200
2430,75.0,17.692546969,268300
2440,75.0,17.762208495,269400
2450,74.0,17.822984416,270500
2460,75.0,17.8890211,271600
2470,75.0,17.967958796,272700
2480,81.0,18.044190987,273800
2490,75.0,18.131069057,274900
2500,75.0,18.212372746,276000
2510,75.0,18.270108029,277100
2520,75.0,18.332257305,278200
2530,74.0,18.398213031,279300
2540,75.0,18.457202422,280400
2550,75.0,18.517946252,281500
2560,75.0,18.589799094,282600
2570,74.0,18.66237107,283700
2580,74.0,18.728588266,284800
2590,75.0,18.809619545,285900
2600,75.0,18.880620876,287000
2610,75.0,18.96324942,288100
2620,80.0,19.049246806,289200
2630,80.0,19.117339877,290300
2640,75.0,19.175822373,291400
2650,75.0,19.233021952,292500
2660,74.0,19.293764322,293600
2670,74.0,19.351673189,294700
2680,75.0,19.426639238,295800
2690,77.0,19.492749949,296900
2700,74.0,19.564202746,298000
2710,75.0,19.63033315,299100
2720,74.0,19.692725298,300200
2730,75.0,19.765576977,301300
2740,75.0,19.848546489,302400
2750,75.0,19.920443091,303500
2760,74.0,19.986665757,304600
2770,75.0,20.059326348,305700
2780,74.0,20.133894174,306800
2790,75.0,20.200086937,307900
2800,75.0,20.275105864,309000
2810,74.0,20.347468882,310100
2820,74.0,20.41085768,311200
2830,75.0,20.477393599,312300
2840,75.0,20.540729884,313400
2850,74.0,20.610699194,314500
2860,75.0,20.668110648,315600
2870,80.0,20.729905098,316700
2880,81.0,20.800947637,317800
2890,74.0,20.873735499,318900
2900,75.0,20.94413038,320000
2910,74.0,21.009682779,321100
2920,75.0,21.082621615,322200
2930,74.0,21.151893306,323300
2940,75.0,21.21220901,324400
2950,75.0,21.271262948,325500
2960,74.0,21.332721899,326600
2970,75.0,21.396450935,327700
2980,75.0,21.452972589,328800
2990,75.0,21.510683804,329900
3000,75.0,21.56963454,331000
3010,75.0,21.631254677,332100
3020,75.0,21.699255485,333200
3030,75.0,21.763141331,334300
3040,74.0,21.829407393,335400
3050,75.0,21.906910467,336500
3060,75.0,21.973844973,337600
3070,74.0,22.043980573,338700
3080,75.0,22.114911158,339800
3090,74.0,22.17949681,340900
3100,74.0,22.252890027,342000
3110,75.0,22.333395084,343100
3120,75.0,22.400804029,344200
3130,75.0,22.474639959,345300
3140,75.0,22.544891159,346400
3150,75.0,22.631843622,347500
3160,75.0,22.705127437,348600
3170,75.0,22.76262313,349700
3180,75.0,22.838002717,350800
3190,74.0,22.908783423,351900
3200,75.0,22.98877101,353000
3210,74.0,23.053955454,354100
3220,75.0,23.14602901,355200
3230,75.0,23.21232461,356300
3240,78.0,23.288282203,357400
